,date,price
0,1994-12-30,"
"
1,1994-12-29,383.25
2,1994-12-28,381.75
3,1994-12-23,"
"
4,1994-12-22,381.55
5,1994-12-21,382.05
6,1994-12-20,381.9
7,1994-12-19,379.2
8,1994-12-16,380.35
9,1994-12-15,379.2
10,1994-12-14,380.5
11,1994-12-13,379.1
12,1994-12-12,377.15
13,1994-12-09,376.5
14,1994-12-08,376.2
15,1994-12-07,377
16,1994-12-06,375.75
17,1994-12-05,376.6
18,1994-12-02,379
19,1994-12-01,380.1
20,1994-11-30,383.1
21,1994-11-29,383.2
22,1994-11-28,384
23,1994-11-25,384.85
24,1994-11-24,384.3
25,1994-11-23,384.7
26,1994-11-22,383.8
27,1994-11-21,383.4
28,1994-11-18,384
29,1994-11-17,386.75
30,1994-11-16,386.25
31,1994-11-15,386.7
32,1994-11-14,385.1
33,1994-11-11,385.3
34,1994-11-10,384.2
35,1994-11-09,383.6
36,1994-11-08,384.65
37,1994-11-07,382.7
38,1994-11-04,383.8
39,1994-11-03,383.8
40,1994-11-02,383.85
41,1994-11-01,384.5
42,1994-10-31,383.85
43,1994-10-28,387.7
44,1994-10-27,389.15
45,1994-10-26,388.9
46,1994-10-25,389.2
47,1994-10-24,389.3
48,1994-10-21,390.95
49,1994-10-20,391.55
50,1994-10-19,391.1
51,1994-10-18,389.75
52,1994-10-17,389
53,1994-10-14,387.45
54,1994-10-13,387.25
55,1994-10-12,387.9
56,1994-10-11,387.65
57,1994-10-10,391.2
58,1994-10-07,392
59,1994-10-06,392
60,1994-10-05,393.7
61,1994-10-04,392.45
62,1994-10-03,393.15
63,1994-09-30,394.85
64,1994-09-29,395.7
65,1994-09-28,396.25
66,1994-09-27,395.8
67,1994-09-26,395.8
68,1994-09-23,395.7
69,1994-09-22,393.7
70,1994-09-21,394.9
71,1994-09-20,393.9
72,1994-09-19,389.9
73,1994-09-16,390
74,1994-09-15,388
75,1994-09-14,390.3
76,1994-09-13,389.6
77,1994-09-12,391.1
78,1994-09-09,390.75
79,1994-09-08,391.5
80,1994-09-07,389.7
81,1994-09-06,387.6
82,1994-09-05,386.9
83,1994-09-02,386.7
84,1994-09-01,386
85,1994-08-31,385.75
86,1994-08-30,386.6
87,1994-08-26,383.3
88,1994-08-25,383.3
89,1994-08-24,383.9
90,1994-08-23,381.35
91,1994-08-22,382.6
92,1994-08-19,381.8
93,1994-08-18,380.65
94,1994-08-17,377.2
95,1994-08-16,376.3
96,1994-08-15,376.6
97,1994-08-12,378.2
98,1994-08-11,377.6
99,1994-08-10,378.3
100,1994-08-09,378.65
101,1994-08-08,377.6
102,1994-08-05,378.3
103,1994-08-04,377.5
104,1994-08-03,378.45
105,1994-08-02,380
106,1994-08-01,383.85
107,1994-07-29,384
108,1994-07-28,387.1
109,1994-07-27,388.55
110,1994-07-26,386.2
111,1994-07-25,385
112,1994-07-22,384
113,1994-07-21,385.9
114,1994-07-20,387.45
115,1994-07-19,384.65
116,1994-07-18,386.5
117,1994-07-15,384.9
118,1994-07-14,384.2
119,1994-07-13,384.65
120,1994-07-12,386.3
121,1994-07-11,385.75
122,1994-07-08,383.15
123,1994-07-07,383
124,1994-07-06,385.5
125,1994-07-05,387.3
126,1994-07-04,386.6
127,1994-07-01,384.6
128,1994-06-30,388.25
129,1994-06-29,385.5
130,1994-06-28,386.55
131,1994-06-27,389.25
132,1994-06-24,389.9
133,1994-06-23,389
134,1994-06-22,392.45
135,1994-06-21,390.3
136,1994-06-20,389.3
137,1994-06-17,387.85
138,1994-06-16,386.85
139,1994-06-15,384.1
140,1994-06-14,383.8
141,1994-06-13,382.6
142,1994-06-10,383.05
143,1994-06-09,382.55
144,1994-06-08,381.45
145,1994-06-07,380.5
146,1994-06-06,378.4
147,1994-06-03,382.95
148,1994-06-02,383.25
149,1994-06-01,386.3
150,1994-05-31,387.6
151,1994-05-27,385.4
152,1994-05-26,384.9
153,1994-05-25,387.3
154,1994-05-24,388
155,1994-05-23,386.45
156,1994-05-20,383.15
157,1994-05-19,383.3
158,1994-05-18,379.6
159,1994-05-17,382.55
160,1994-05-16,379.3
161,1994-05-13,381.65
162,1994-05-12,379.25
163,1994-05-11,380.5
164,1994-05-10,380.15
165,1994-05-09,381
166,1994-05-06,373.4
167,1994-05-05,374.5
168,1994-05-04,375.15
169,1994-05-03,375.1
170,1994-04-29,376.45
171,1994-04-28,373.35
172,1994-04-27,374.25
173,1994-04-26,374.3
174,1994-04-25,373
175,1994-04-22,369.65
176,1994-04-21,373.3
177,1994-04-20,371.35
178,1994-04-19,373.1
179,1994-04-18,378.1
180,1994-04-15,377
181,1994-04-14,377.65
182,1994-04-13,378.5
183,1994-04-12,378
184,1994-04-11,381.75
185,1994-04-08,385.45
186,1994-04-07,384.3
187,1994-04-06,383.9
188,1994-04-05,384.75
189,1994-03-31,389.2
190,1994-03-30,387.15
191,1994-03-29,386.8
192,1994-03-28,389.25
193,1994-03-25,391.3
194,1994-03-24,390.4
195,1994-03-23,388.25
196,1994-03-22,389.15
197,1994-03-21,386.45
198,1994-03-18,386.55
199,1994-03-17,383.4
200,1994-03-16,385.5
201,1994-03-15,387.1
202,1994-03-14,386.5
203,1994-03-11,386.65
204,1994-03-10,380.5
205,1994-03-09,375.3
206,1994-03-08,376.1
207,1994-03-07,377.5
208,1994-03-04,375.95
209,1994-03-03,377.7
210,1994-03-02,376.95
211,1994-03-01,381.3
212,1994-02-28,381.55
213,1994-02-25,378.95
214,1994-02-24,376.7
215,1994-02-23,375.75
216,1994-02-22,379.4
217,1994-02-21,380
218,1994-02-18,379.95
219,1994-02-17,384.5
220,1994-02-16,383.5
221,1994-02-15,385
222,1994-02-14,383.25
223,1994-02-11,381.85
224,1994-02-10,382.5
225,1994-02-09,380.75
226,1994-02-08,380.55
227,1994-02-07,383.5
228,1994-02-04,388.5
229,1994-02-03,385.65
230,1994-02-02,384.7
231,1994-02-01,381.65
232,1994-01-31,377.9
233,1994-01-28,378.25
234,1994-01-27,383.6
235,1994-01-26,383
236,1994-01-25,382
237,1994-01-24,378.8
238,1994-01-21,386
239,1994-01-20,391.8
240,1994-01-19,391.7
241,1994-01-18,392.55
242,1994-01-17,392.3
243,1994-01-14,390.1
244,1994-01-13,388.75
245,1994-01-12,386.1
246,1994-01-11,385.45
247,1994-01-10,383.7
248,1994-01-07,390.5
249,1994-01-06,385.65
250,1994-01-05,395.25
251,1994-01-04,394.1
252,29-Dec-95,386.6
253,28-Dec-95,386.7
254,27-Dec-95,386.6
255,26-Dec-95,387.4
256,22-Dec-95,387
257,21-Dec-95,387.6
258,20-Dec-95,388.3
259,19-Dec-95,387.2
260,18-Dec-95,387.9
261,15-Dec-95,386
262,14-Dec-95,386.25
263,13-Dec-95,386.4
264,12-Dec-95,388.1
265,11-Dec-95,388.3
266,08-Dec-95,389.5
267,07-Dec-95,388.85
268,06-Dec-95,388.5
269,05-Dec-95,387
270,04-Dec-95,386
271,01-Dec-95,386.1
272,30-Nov-95,387.15
273,29-Nov-95,388.65
274,28-Nov-95,388.75
275,27-Nov-95,386.15
276,24-Nov-95,383.5
277,23-Nov-95,383.15
278,22-Nov-95,381.4
279,21-Nov-95,385.2
280,20-Nov-95,386.4
281,17-Nov-95,386.8
282,16-Nov-95,385.35
283,15-Nov-95,385.1
284,14-Nov-95,385.2
285,13-Nov-95,387.2
286,10-Nov-95,389
287,09-Nov-95,385.6
288,08-Nov-95,384.4
289,07-Nov-95,384.45
290,06-Nov-95,382.3
291,03-Nov-95,382.2
292,02-Nov-95,382.4
293,01-Nov-95,382.2
294,31-Oct-95,382.4
295,30-Oct-95,382
296,27-Oct-95,382.5
297,26-Oct-95,382.4
298,25-Oct-95,382.7
299,24-Oct-95,382.2
300,23-Oct-95,382.4
