,date,price
0,1994-12-30,4.85
1,1994-12-29,4.9025
2,1994-12-28,4.81
3,1994-12-23,4.7525
4,1994-12-22,4.7875
5,1994-12-21,4.83
6,1994-12-20,4.8135
7,1994-12-19,4.77
8,1994-12-16,4.8225
9,1994-12-15,4.765
10,1994-12-14,4.765
11,1994-12-13,4.8125
12,1994-12-12,4.7275
13,1994-12-09,4.67
14,1994-12-08,4.64
15,1994-12-07,4.6875
16,1994-12-06,4.6475
17,1994-12-05,4.74
18,1994-12-02,4.932
19,1994-12-01,4.9175
20,1994-11-30,5.075
21,1994-11-29,5.14
22,1994-11-28,5.1715
23,1994-11-25,5.1725
24,1994-11-24,5.15
25,1994-11-23,5.17
26,1994-11-22,5.15
27,1994-11-21,5.149
28,1994-11-18,5.2275
29,1994-11-17,5.235
30,1994-11-16,5.19
31,1994-11-15,5.2135
32,1994-11-14,5.1575
33,1994-11-11,5.1775
34,1994-11-10,5.135
35,1994-11-09,5.2
36,1994-11-08,5.2065
37,1994-11-07,5.2275
38,1994-11-04,5.265
39,1994-11-03,5.32
40,1994-11-02,5.2775
41,1994-11-01,5.2225
42,1994-10-31,5.345
43,1994-10-28,5.3675
44,1994-10-27,5.3875
45,1994-10-26,5.3075
46,1994-10-25,5.33
47,1994-10-24,5.315
48,1994-10-21,5.4
49,1994-10-20,5.41
50,1994-10-19,5.355
51,1994-10-18,5.4135
52,1994-10-17,5.3925
53,1994-10-14,5.37
54,1994-10-13,5.5075
55,1994-10-12,5.5075
56,1994-10-11,5.5575
57,1994-10-10,5.6135
58,1994-10-07,5.655
59,1994-10-06,5.596
60,1994-10-05,5.5965
61,1994-10-04,5.605
62,1994-10-03,5.525
63,1994-09-30,5.62
64,1994-09-29,5.6225
65,1994-09-28,5.7
66,1994-09-27,5.665
67,1994-09-26,5.6565
68,1994-09-23,5.71
69,1994-09-22,5.6025
70,1994-09-21,5.6715
71,1994-09-20,5.48
72,1994-09-19,5.43
73,1994-09-16,5.385
74,1994-09-15,5.395
75,1994-09-14,5.4625
76,1994-09-13,5.456
77,1994-09-12,5.51
78,1994-09-09,5.45
79,1994-09-08,5.51
80,1994-09-07,5.51
81,1994-09-06,5.438
82,1994-09-05,5.4075
83,1994-09-02,5.4375
84,1994-09-01,5.4015
85,1994-08-31,5.3575
86,1994-08-30,5.382
87,1994-08-26,5.255
88,1994-08-25,5.2525
89,1994-08-24,5.2135
90,1994-08-23,5.213
91,1994-08-22,5.2265
92,1994-08-19,5.1725
93,1994-08-18,5.1075
94,1994-08-17,5.1275
95,1994-08-16,5.0725
96,1994-08-15,5.05
97,1994-08-12,5.1925
98,1994-08-11,5.115
99,1994-08-10,5.159
100,1994-08-09,5.1125
101,1994-08-08,5.113
102,1994-08-05,5.175
103,1994-08-04,5.155
104,1994-08-03,5.2125
105,1994-08-02,5.285
106,1994-08-01,5.33
107,1994-07-29,5.2925
108,1994-07-28,5.3325
109,1994-07-27,5.3225
110,1994-07-26,5.32
111,1994-07-25,5.26
112,1994-07-22,5.2525
113,1994-07-21,5.26
114,1994-07-20,5.3215
115,1994-07-19,5.2115
116,1994-07-18,5.255
117,1994-07-15,5.2225
118,1994-07-14,5.1625
119,1994-07-13,5.215
120,1994-07-12,5.315
121,1994-07-11,5.2475
122,1994-07-08,5.2375
123,1994-07-07,5.24
124,1994-07-06,5.3175
125,1994-07-05,5.4075
126,1994-07-04,5.386
127,1994-07-01,5.355
128,1994-06-30,5.251
129,1994-06-29,5.27
130,1994-06-28,5.265
131,1994-06-27,5.39
132,1994-06-24,5.4065
133,1994-06-23,5.365
134,1994-06-22,5.544
135,1994-06-21,5.4825
136,1994-06-20,5.605
137,1994-06-17,5.47
138,1994-06-16,5.53
139,1994-06-15,5.355
140,1994-06-14,5.4175
141,1994-06-13,5.325
142,1994-06-10,5.387
143,1994-06-09,5.355
144,1994-06-08,5.329
145,1994-06-07,5.28
146,1994-06-06,5.2725
147,1994-06-03,5.3375
148,1994-06-02,5.3475
149,1994-06-01,5.5425
150,1994-05-31,5.495
151,1994-05-27,5.45
152,1994-05-26,5.5115
153,1994-05-25,5.5675
154,1994-05-24,5.73
155,1994-05-23,5.715
156,1994-05-20,5.5325
157,1994-05-19,5.57
158,1994-05-18,5.4435
159,1994-05-17,5.53
160,1994-05-16,5.3925
161,1994-05-13,5.4225
162,1994-05-12,5.4025
163,1994-05-11,5.265
164,1994-05-10,5.3915
165,1994-05-09,5.395
166,1994-05-06,5.0675
167,1994-05-05,5.1175
168,1994-05-04,5.2125
169,1994-05-03,5.2875
170,1994-04-29,5.28
171,1994-04-28,5.165
172,1994-04-27,5.165
173,1994-04-26,5.121
174,1994-04-25,5.094
175,1994-04-22,5.2
176,1994-04-21,5.265
177,1994-04-20,5.2435
178,1994-04-19,5.2375
179,1994-04-18,5.246
180,1994-04-15,5.295
181,1994-04-14,5.34
182,1994-04-13,5.336
183,1994-04-12,5.282
184,1994-04-11,5.455
185,1994-04-08,5.4635
